diagnosisId:ID(DiagnosisCode),code,:LABEL
R51.9,R51.9,DiagnosisCode
M54.5,M54.5,DiagnosisCode
R93.2,R93.2,DiagnosisCode
G89.29,G89.29,DiagnosisCode
I65.23,I65.23,DiagnosisCode
K43.9,K43.9,DiagnosisCode
K80.20,K80.20,DiagnosisCode
J18.9,J18.9,DiagnosisCode
C34.10,C34.10,DiagnosisCode
R93.6,R93.6,DiagnosisCode
R93.4,R93.4,DiagnosisCode
I25.10,I25.10,DiagnosisCode
R91.8,R91.8,DiagnosisCode
I34.0,I34.0,DiagnosisCode
N40.0,N40.0,DiagnosisCode
R00.0,R00.0,DiagnosisCode
I67.2,I67.2,DiagnosisCode
J44.1,J44.1,DiagnosisCode
N32.89,N32.89,DiagnosisCode
Z12.31,Z12.31,DiagnosisCode
R93.0,R93.0,DiagnosisCode
R93.1,R93.1,DiagnosisCode
K57.30,K57.30,DiagnosisCode
Z87.891,Z87.891,DiagnosisCode
Z76.89,Z76.89,DiagnosisCode
I10,I10,DiagnosisCode
N18.3,N18.3,DiagnosisCode
G43.909,G43.909,DiagnosisCode
R06.09,R06.09,DiagnosisCode
M79.3,M79.3,DiagnosisCode
R55,R55,DiagnosisCode
R93.89,R93.89,DiagnosisCode
I63.9,I63.9,DiagnosisCode
R93.3,R93.3,DiagnosisCode
R93.5,R93.5,DiagnosisCode
M50.20,M50.20,DiagnosisCode
E11.9,E11.9,DiagnosisCode
M17.11,M17.11,DiagnosisCode
Z90.12,Z90.12,DiagnosisCode
