practiceId:ID(Practice),code,:LABEL
RADM,RADM,Practice
TRI,TRI,Practice
RADH,RADH,Practice
NRAA,NRAA,Practice
RADZ,RADZ,Practice
NRA,NRA,Practice
SAPA,SAPA,Practice
GRH,GRH,Practice
RADX,RADX,Practice
RASFA,RASFA,Practice
RADD,RADD,Practice
RADT,RADT,Practice
RADG,RADG,Practice
RADS2,RADS2,Practice
RADB,RADB,Practice
RADA,RADA,Practice
RADQ,RADQ,Practice
ESR,ESR,Practice
CIRPA,CIRPA,Practice
RADI,RADI,Practice
PMR,PMR,Practice
ACRB,ACRB,Practice
RADO,RADO,Practice
RADS,RADS,Practice
ACR,ACR,Practice
RADF,RADF,Practice
RADC,RADC,Practice
RADK,RADK,Practice
RADR,RADR,Practice
RADE,RADE,Practice
PXP,PXP,Practice
MRB,MRB,Practice
GSIA,GSIA,Practice
RADI2,RADI2,Practice
IAI,IAI,Practice
RADP,RADP,Practice
SMED,SMED,Practice
RADL,RADL,Practice
WRAD,WRAD,Practice
RADU,RADU,Practice
RADY,RADY,Practice
RADJ,RADJ,Practice
CRC,CRC,Practice
RADN,RADN,Practice
